destination country,destination city,description,time,year,year_aggregate
Singapore,Singapore,Met with Prime Minister Goh Chok Tong.,"July 30, 2002",2002,2005
Brunei Darussalam,Bandar Seri Begawan,Attended ASEAN Regional Forum and Post-Ministerial Conference. Met with North Korean Foreign Minister Paek Nam Sun.,"July 30–August 1, 2002",2002,2005
Indonesia,Jakarta,Met with President Sukarnoputri and senior officials.,"August 2, 2002",2002,2005
Philippines,"Manila, Cebu",Met with President Arroyo and senior officials.,"August 2–3, 2002",2002,2005
South Africa,Johannesburg,Attended the World Summit on Sustainable Development.,"September 3–5, 2002",2002,2005
Angola,Luanda,Met with President dos Santos and attended a meeting of the Joint Commission for the Implementation of the Lusaka Protocols.,"September 5, 2002",2002,2005
Gabon,Libreville,Met with President Bongo and Foreign Minister Ping. Visited Pongara National Park.,"September 5–6, 2002",2002,2005
Cape Verde,Praia,Met with Foreign Minister Sousa.,"September 6, 2002",2002,2005
Mexico,Los Cabos,Attended APEC Ministerial and Summit Meetings.,"October 23–26, 2002",2002,2005
Canada,Ottawa,Met with Foreign Minister Graham.,"November 14, 2002",2002,2005
Czech Republic,Prague,"Accompanied President Bush to the NATO Summit meeting,.","November 19–22, 2002",2002,2005
Russia,St. Petersburg,Accompanied President Bush to a meeting with President Putin.,"November 22, 2002",2002,2005
Lithuania,Vilnius,Accompanied President Bush to a meeting with the Presidents of the Baltic States.,"November 22–23, 2002",2002,2005
Romania,Bucharest,Accompanied President Bush to a meeting with President Iliescu.,"November 23, 2002",2002,2005
Mexico,"Mexico, D.F.",Attended a meeting of the U.S.-Mexico Binational Commission.,"November 25–26, 2002",2002,2005
Colombia,Bogota,Met with President Uribe and Foreign Minister Barcos.,"December 3–4, 2002",2002,2005
Switzerland,Davos,Attended the World Economic Forum.,"January 25–26, 2003",2003,2005
Japan,Tokyo,Met with senior Japanese officials.,"February 22–23, 2003",2003,2005
"China, People’s Republic of",Beijing,Met with President Jiang Zemin and senior Chinese officials.,"February 23–24, 2003",2003,2005
"Korea, Republic of",Seoul,Attended the inauguration of President Roh Moo-Hyun.,"February 24–25, 2003",2003,2005
Turkey,Ankara,Discussed the conflict in Iraq and economic aid with senior Turkish officials.,"April 1–2, 2003",2003,2005
Serbia and Montenegro,Belgrade,Met with President Marovic and Prime Minister Zivkovic.,"April 2, 2003",2003,2005
Belgium,Brussels,"Discussed the conflict in Iraq with NATO, EU, and Russian Foreign Ministers.","April 2–3, 2003",2003,2005
United Kingdom,"Belfast, Hillsborough (Northern Ireland)",Accompanied President Bush to meetings with Prime Minister Blair and with Irish Prime Minister Ahern and Northern Irish political leaders.,"April 7–8, 2003",2003,2005
Spain,Madrid,Met with Prime Minister Aznar and Foreign Minister Palacio.,"May 1–2, 2003",2003,2005
Albania,Tirana,"Signed the Adriatic Charter of Partnership with the Foreign Ministers of Albania, Croatia, and Macedonia.","May 2, 2003",2003,2005
Syria,Damascus,Met with President Assad and Foreign Minister Sharaa.,"May 2–3, 2003",2003,2005
Lebanon,Beirut,Met with President Lahoud and Foreign Minister Obeid.,"May 3, 2003",2003,2005
Israel,Jerusalem,Met with Prime Minister Sharon and senior Israeli officials; attended a Quartet working group meeting.,"May 10–12, 2003",2003,2005
Palestinian Authority,Jericho,Met with Prime Minister Abbas.,"May 11, 2003",2003,2005
Egypt,Cairo,Met with President Mubarak and Foreign Minister Maher.,"May 12, 2003",2003,2005
Jordan,Amman,Met with King Abdullah II and senior Jordanian officials.,"May 12–13, 2003",2003,2005
Saudi Arabia,Riyadh,Met with Crown Prince Abdullah and visited the Vinnell Compound after a terrorist attack.,"May 13, 2003",2003,2005
Russia,Moscow,Met with President Putin and Foreign Minister Ivanov.,"May 13–15, 2003",2003,2005
Bulgaria,Sofia,Met with Prime Minister Saxe-Coburg and Foreign Minister Passy; commemorated the 100th anniversary of U.S.-Bulgarian relations.,"May 15, 2003",2003,2005
Germany,Berlin,Met with Chancellor Schroeder and Foreign Minister Fischer.,"May 15–16, 2003",2003,2005
France,Paris,Attended a G-8 Foreign Ministers’ Meeting.,"May 22–23, 2003",2003,2005
Poland,Krakow,Accompanied President Bush.,"May 30–31, 2003",2003,2005
Russia,St. Petersburg,Accompanied President Bush.,"May 31–June 1, 2003",2003,2005
Italy,Rome,Met with Foreign Minister Frattini.,"June 1–2, 2003",2003,2005
Vatican City,,Briefed Pope John Paul II on the Middle East Summit and relief efforts in Iraq.,"June 2, 2003",2003,2005
Egypt,Sharm el-Sheikh,"Accompanied President Bush to meetings with the leaders of Bahrain, Egypt, Jordan and Saudi Arabia, and with Palestinian Prime Minister Abbas.","June 2–4, 2003",2003,2005
Jordan,Aqaba,Accompanied President Bush to meetings with Israeli Prime Minister Sharon and Palestinian Prime Minister Abbas.,"June 4, 2003",2003,2005
Qatar,Doha,Accompanied President Bush.,"June 4–5, 2003",2003,2005
Chile,Santiago,Attended OAS General Assembly meeting and met with President Lagos.,"June 8–10, 2003",2003,2005
Argentina,Buenos Aires,Met with President Kirchner.,"June 10, 2003",2003,2005
Cambodia,Phnom Penh,Attended ASEAN Regional Forum meeting.,"June 17–19, 2003",2003,2005
Bangladesh,Dhaka,Met with Prime Minister Zia and senior officials.,"June 19, 2003",2003,2005
Jordan,"Shuneh, Suweima, Petra","Attended the World Economic Forum, met with Quartet representatives, and visited Petra.","June 19–23, 2003",2003,2005
Israel,Jerusalem,Met with Prime Minister Sharon and senior Israeli officials.,"June 20, 2003",2003,2005
Palestinian Authority,Jericho,Met with Prime Minister Abbas and senior Palestinian officials.,"June 20, 2003",2003,2005
Senegal,"Dakar, Goree",Accompanied President Bush.,"July 8, 2003",2003,2005
South Africa,Pretoria,Accompanied President Bush.,"July 8–11, 2003",2003,2005
Botswana,Gaborone,Accompanied President Bush.,"July 10, 2003",2003,2005
Uganda,Kampala,Accompanied President Bush.,"July 11, 2003",2003,2005
Nigeria,Abuja,Accompanied President Bush.,"July 11–12, 2003",2003,2005
Switzerland,Geneva,Met with UN Secretary-General Annan and the Foreign Ministers of the Permanent Members of the Security Council.,"September 13, 2003",2003,2005
Kuwait,Kuwait City,Stopped en route to Iraq.,"September 14, 2003",2003,2005
Iraq,"Baghdad, Halabja",Met with U.S. military and civilian authorities and with the Iraqi Governing Council; also met with Kurdish leaders in Halabja.,"September 14–15, 2003",2003,2005
Kuwait,Kuwait City,Met with Foreign Minister Sabah.,"September 15, 2003",2003,2005
Thailand,Bangkok,Attended the APEC Summit Meeting.,"October 17–21, 2003",2003,2005
Kenya,"Nairobi, Naivasha",Attended Sudanese peace talks and met with President Kibaki.,"October 21–22, 2003",2003,2005
Egypt,Sharm el-Sheikh,Met with President Mubarak.,"October 22, 2003",2003,2005
Spain,Madrid,Attended the International Conference for the Reconstruction of Iraq.,"October 22–24, 2003",2003,2005
Panama,Panama City,Attended a ceremony honoring the centennial of Panamanian independence. Greeted Taiwanese President Chen Shu-bian.,"November 3, 2003",2003,2005
Nicaragua,Managua,Met with President Bolanos.,"November 3–4, 2003",2003,2005
Honduras,Tegucigalpa,Met with President Maduro.,"November 4, 2003",2003,2005
Belgium,Brussels,Met with EU Foreign Ministers.,"November 18, 2003",2003,2005
United Kingdom,London,Accompanied President Bush on a State Visit.,"November 18–20, 2003",2003,2005
Netherlands,Maastricht,Attended an OSCE Meeting.,"December 2, 2003",2003,2005
Tunisia,Tunis,Met with President Ben Ali.,"December 2, 2003",2003,2005
Morocco,Marrakesh,Met with King Mohamed VI and Foreign Minister Benaissa.,"December 2–3, 2003",2003,2005
Algeria,Algiers,Met with President Bouteflika and Foreign Minister Belkhadem.,"December 3, 2003",2003,2005
Belgium,Brussels,Attended NATO Ministerial meeting.,"December 3–4, 2003",2003,2005
Mexico,Monterrey,Accompanied President Bush to the Special Summit of the Americas.,"January 12–13, 2004",2004,2005
Georgia,Tbilisi,Attended the inauguration of President Saakashvili and met with former President Shevardnadze.,"January 24–25, 2004",2004,2005
Russia,Moscow,Met with President Putin and Foreign Minister Ivanov.,"January 25–27, 2004",2004,2005
India,New Delhi,Met with Prime Minister Vajpayee and Foreign Minister Sinha.,"March 15–17, 2004",2004,2005
Afghanistan,Kabul,Met with President Karzai and with U.S. military and civilian officials.,"March 17, 2004",2004,2005
Pakistan,Islamabad,Met with President Musharraf and Foreign Minister Kasuri.,"March 17–18, 2004",2004,2005
Kuwait,Kuwait City,"Met with Amir Jabir al-Sabah, Prime Minister Sabah, and Foreign Minister Sabah.","March 18–20, 2004",2004,2005
Iraq,Baghdad,Met with members of the Coalition Provisional Authority and the Iraqi Governing Council.,"March 19, 2004",2004,2005
Saudi Arabia,Riyadh,Met with Crown Prince Abdullah and Foreign Minister Prince Saud.,"March 19, 2004",2004,2005
Spain,Madrid,Attended memorial service for victims of the March 11 bombings.,"March 24, 2004",2004,2005
Germany,Berlin,Attended International Conference on Afghanistan.,"March 31–April 1, 2004",2004,2005
Belgium,Brussels,Attended NATO Ministerial and NATO/Russian Council meetings.,"April 1–2, 2004",2004,2005
Haiti,Port-au-Prince,Met with Prime Minister Latortue.,"April 5, 2004",2004,2005
Germany,Berlin,Attended OSCE Conference on Anti-Semitism.,"April 28–29, 2004",2004,2005
Denmark,Copenhagen,Met with Prime Minister Rasmussen and Foreign Minister Moller.,"April 29, 2004",2004,2005
Jordan,"Amman, South Shuneh",Attended the World Economic Forum.,"May 15–16, 2004",2004,2005
Vatican City,,Accompanied President Bush.,"June 4, 2004",2004,2005
Italy,Rome,Accompanied President Bush.,"June 4–5, 2004",2004,2005
France,"Paris, Colleville, Arromanches, Caen",Accompanied President Bush.,"June 5–6, 2004",2004,2005
Ecuador,Quito,Attended OAS General Assembly meeting.,"June 7, 2004",2004,2005
Ireland,Shannon,Accompanied President Bush to the U.S.-EU Summit meeting.,"June 25–26, 2004",2004,2005
Turkey,"Ankara, Istanbul",Accompanied President Bush to the NATO Summit meeting in Istanbul.,"June 26–29, 2004",2004,2005
Sudan,"Khartoum, El Fasher, Abu Shouk",Met with President Bashir and Foreign Minister Ismail. Visited a refugee camp in the Darfur region.,"June 29–30, 2004",2004,2005
Maldives,Malé,Met with Foreign Minister Jameel.,"July 1, 2004",2004,2005
Indonesia,Jakarta,Attended the ASEAN Regional and Post-Ministerial meetings.,"July 1–2, 2004",2004,2005
Hungary,Budapest,Met with Foreign Minister Kovacs and addressed a conference of Hungarian ambassadors.,"July 26–27, 2004",2004,2005
Egypt,Cairo,"Met with President Mubarak, Prime Minister Aboul Gheit, and Foreign Minister Gheit.","July 27–28, 2004",2004,2005
Saudi Arabia,Jeddah,"Met with Crown Prince Abdullah, Foreign Minister Prince Saud, and Iraqi Prime Minister Allawi.","July 28–29, 2004",2004,2005
Kuwait,Kuwait City,Met with Foreign Minister Sabah.,"July 29–31, 2004",2004,2005
Iraq,Baghdad,Met with President Yawer and Deputy Prime Minister Salih. Returned to Kuwait afterwards.,"July 30, 2004",2004,2005
Bosnia-Herzegovina,Sarajevo,Discussed Euro-Atlantic integration.,"July 31, 2004",2004,2005
Poland,Warsaw,Met with Foreign Minister Cimoszewicz and attended ceremonies commemorating the 60th anniversary of the Warsaw Uprising.,"July 31–August 1, 2004",2004,2005
Denmark (Greenland),Igaliku,Signed an updated agreement for the defense of Greenland.,"August 6, 2004",2004,2005
Panama,Panama City,Attended the inauguration of President Martin Torrijos.,"September 1, 2004",2004,2005
Brazil,"Brasilia, Sao Paulo",Met with President Lula da Silva and Foreign Minister Amorim and addressed the American Chamber of Commerce.,"October 4–6, 2004",2004,2005
Grenada,St. George's,Assessed damage from hurricane Ivan.,"October 6, 2004",2004,2005
Japan,Tokyo,Met with Prime Minister Koizumi and Foreign Minister Machimura.,"October 23–24, 2004",2004,2005
"China, People’s Republic of",Beijing,Met with President Hu and senior Chinese officials.,"October 24–25, 2004",2004,2005
"Korea, Republic of",Seoul,Met with President Roh and Foreign Minister Ban.,"October 25–26, 2004",2004,2005
Mexico,Mexico City,Attended U.S.-Mexico Binational Commission meeting.,"November 8–9, 2004",2004,2005
Chile,Santiago,Attended APEC Ministerial meetings and accompanied President Bush to the APEC Summit meeting.,"November 17–21, 2004",2004,2005
Israel,Jerusalem,Attended APEC Summit meeting. Met with Prime Minister Sharon and Foreign Minister Shalom.,"November 21–22, 2004",2004,2005
Palestinian Authority,Jericho,"Met with Prime Minister Qureia, acting President Fattouh, and former Prime Minister Abbas.","November 22, 2004",2004,2005
Egypt,Sharm el-Sheikh,Attended a conference on assistance to Iraq.,"November 22–23, 2004",2004,2005
Canada,Ottawa,Accompanied President Bush.,"November 30, 2004",2004,2005
Haiti,Port-au-Prince,"Met with President Alexandre, Prime Minister Latortue, and political leaders.","December 1, 2004",2004,2005
Bulgaria,Sofia,Attended OSCE meeting.,"December 6–8, 2004",2004,2005
Belgium,Brussels,"Attended North Atlantic Council, NATO-Russia and Euro-Atlantic Partnership Council meetings.","December 8–10, 2004",2004,2005
Netherlands,The Hague,Attended US-EU Ministerial meeting.,"December 10, 2004",2004,2005
Morocco,Rabat,Attended Forum for the Future meeting.,"December 10–11, 2004",2004,2005
Oman,Muscat,Met with Foreign Minister bin Abdallah.,"January 3, 2005",2005,2005
Thailand,"Bangkok, Phuket",Assessed tsunami damage and relief efforts.,"January 3–4, 2005",2005,2005
Indonesia,"Jakarta, Banda Aceh",Assessed tsunami damage and relief efforts. Attended ASEAN Leaders’ Special Meeting on Tsunami Relief.,"January 4–7, 2005",2005,2005
Sri Lanka,"Colombo, Galle",Assessed tsunami damage and relief efforts.,"January 7, 2005",2005,2005
Kenya,Nairobi,Attended the signing of the Sudan Comprehensive Peace Agreement.,"January 7–9, 2005",2005,2005
United Kingdom,London,Met with Prime Minister Blair and Foreign Secretary Straw.,"February 4, 2005",2005,2005
Germany,Berlin,Met with Chancellor Schroeder.,"February 4–5, 2005",2005,2005
Poland,Warsaw,Met with Prime Minister Belka and Foreign Minister Rotfeld.,"February 5, 2005",2005,2005
Turkey,Ankara,Met with Foreign Minister Gul and Russian Foreign Minister Lavrov.,"February 5–6, 2005",2005,2005
Israel,Jerusalem,Met with Prime Minister Sharon and Foreign Minister Shalom.,"February 6–7, 2005",2005,2005
Palestinian Authority,Ramallah,Met with Prime Minister Abbas.,"February 7, 2005",2005,2005
Italy,Rome,Met with Foreign Minister Fini.,"February 7–8, 2005",2005,2005
Vatican City,,Met with Cardinal Sodano.,"February 8, 2005",2005,2005
France,Paris,Met with President Chirac and Foreign Minister Barnier; addressed the Institute of Political Sciences.,"February 8–9, 2005",2005,2005
